Wall time,Step,Value
1561229015.0641878,0,3.1909289360046387
1561229015.0642645,0,3.1823015213012695
1561229015.0658696,0,3.1468935012817383
1561229015.0669913,0,3.095545530319214
1561229015.0700953,0,3.0559725761413574
1561229015.070542,0,3.05534029006958
1561229015.0733864,0,3.0267229080200195
1561229015.0737154,0,3.0346646308898926
1561229015.074673,0,3.0444862842559814
1561229015.0755298,0,3.0378365516662598
1561229015.077024,0,3.0433199405670166
1561229015.0770733,0,3.05818772315979
1561229015.077537,0,3.049656391143799
1561229015.0825512,0,3.073944091796875
1561229015.0841508,0,3.082360029220581
1561229015.0849206,0,3.082062005996704
1561229015.0877895,0,3.0998716354370117
1561229015.0897248,0,3.1148643493652344
1561229015.0901282,0,3.0965583324432373
1561229015.0924551,0,3.1045851707458496
1561229015.093009,0,3.1056485176086426
1561229015.0942883,0,3.123551607131958
1561229015.0962749,0,3.129488468170166
1561229015.0967045,0,3.1281752586364746
1561229015.0992115,0,3.1426172256469727
1561229015.099886,0,3.143357753753662
1561229191.9992187,1,3.1363108158111572
1561229191.9996078,1,3.147430181503296
1561229192.0023003,1,3.1423087120056152
1561229192.013884,1,3.161365509033203
1561229192.017384,1,3.1648335456848145
1561229192.021666,1,3.176640272140503
1561229192.0245686,1,3.1795125007629395
1561229192.0300658,1,3.1862130165100098
1561229192.0359995,1,3.189248561859131
1561229192.0391674,1,3.2022342681884766
1561229192.0392406,1,3.203871011734009
1561229192.0401738,1,3.208281993865967
1561229192.040273,1,3.207782745361328
1561229192.0432227,1,3.2002322673797607
1561229192.043715,1,3.218848466873169
1561229192.0459814,1,3.2135114669799805
1561229192.0476592,1,3.2274527549743652
1561229192.050648,1,3.238251209259033
1561229192.0519867,1,3.233527898788452
1561229192.0525873,1,3.2338781356811523
1561229192.0533936,1,3.2498271465301514
1561229368.38542,2,3.252742052078247
1561229368.388382,2,3.2638447284698486
1561229368.3890698,2,3.2633581161499023
1561229368.38954,2,3.2682924270629883
1561229368.3904848,2,3.271880626678467
1561229368.3905659,2,3.27561092376709
1561229368.392997,2,3.273867607116699
1561229368.3980205,2,3.274442672729492
1561229368.3998725,2,3.2823715209960938
1561229368.4000556,2,3.2745304107666016
1561229368.4008,2,3.2851428985595703
1561229368.4042768,2,3.296794891357422
1561229368.4058533,2,3.2891592979431152
1561229368.4068925,2,3.2991228103637695
1561229368.4140925,2,3.3129637241363525
1561229368.4190404,2,3.321629285812378
1561229368.4256368,2,3.3179588317871094
1561229368.4264054,2,3.326143741607666
1561229368.4287324,2,3.326728343963623
1561229368.4290085,2,3.33235764503479
1561229368.430361,2,3.327906608581543
1561229368.4308043,2,3.3360090255737305
1561229368.4337351,2,3.3240175247192383
1561229368.4345102,2,3.334023952484131
1561229368.4392273,2,3.326958656311035
1561229368.439252,2,3.3302230834960938
1561229544.7673852,3,3.3404464721679688
1561229544.7685592,3,3.3433432579040527
1561229544.7686443,3,3.3563332557678223
1561229544.7688558,3,3.3508286476135254
1561229544.7706254,3,3.351339817047119
1561229544.770667,3,3.347562313079834
1561229544.7714555,3,3.347426652908325
1561229544.7718585,3,3.3460140228271484
1561229544.773221,3,3.3403332233428955
1561229544.7738302,3,3.340257406234741
1561229544.7742155,3,3.34140682220459
1561229544.7802484,3,3.3454108238220215
1561229544.7834342,3,3.3571183681488037
1561229544.7856479,3,3.337690830230713
1561229544.7911913,3,3.3311047554016113
1561229544.7945554,3,3.320966958999634
1561229544.7981496,3,3.3232064247131348
1561229544.7985926,3,3.32936954498291
1561229544.8013427,3,3.331547498703003
